"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2021","8.7622","8.6572","8.8099","8.6168","","1.38%"
"09/22/2021","8.6431","8.6275","8.6741","8.5918","","0.27%"
"09/21/2021","8.6200","8.6715","8.6840","8.5778","","-0.47%"
"09/20/2021","8.6604","8.6461","8.7311","8.6313","","0.37%"
"09/17/2021","8.6283","8.5306","8.6644","8.4930","","1.22%"
"09/16/2021","8.5241","8.4355","8.5497","8.4154","","1.16%"
"09/15/2021","8.4263","8.4417","8.4681","8.4073","","-0.02%"
"09/14/2021","8.4276","8.4277","8.4759","8.4003","","0.10%"
"09/13/2021","8.4195","8.4694","8.4843","8.4105","","-0.42%"
"09/10/2021","8.4553","8.4366","8.4829","8.3793","","0.29%"
"09/09/2021","8.4305","8.4734","8.5257","8.4239","","-0.35%"
"09/08/2021","8.4597","8.3532","8.4906","8.3325","","1.38%"
"09/07/2021","8.3447","8.2818","8.3572","8.2600","","0.82%"
"09/06/2021","8.2771","8.3236","8.3382","8.2600","","-0.33%"
"09/03/2021","8.3049","8.2782","8.3519","8.2553","","0.39%"
"09/02/2021","8.2729","8.2967","8.3149","8.2556","","-0.22%"
"09/01/2021","8.2910","8.3164","8.3374","8.2675","","-0.16%"
"08/31/2021","8.3045","8.3807","8.3949","8.2845","","-0.84%"
"08/30/2021","8.3749","8.3546","8.3969","8.3221","","0.38%"
"08/27/2021","8.3434","8.3925","8.4169","8.3316","","-0.51%"
"08/26/2021","8.3865","8.3788","8.4127","8.3335","","0.22%"
"08/25/2021","8.3682","8.4105","8.4323","8.3558","","-0.33%"
"08/24/2021","8.3959","8.4277","8.4547","8.3837","","-0.27%"
"08/23/2021","8.4187","8.4939","8.5108","8.4154","","-0.78%"
